readsN	context	count	sample
21	CHG	7627	a17
21	CHH	60048	a17
22	CG	4212	a17
22	CHG	4824	a17
22	CHH	38884	a17
23	CG	2793	a17
23	CHG	3028	a17
23	CHH	24515	a17
24	CG	1849	a17
24	CHG	1827	a17
24	CHH	15205	a17
25	CG	1163	a17
25	CHG	1203	a17
25	CHH	9723	a17
26	CG	752	a17
26	CHG	787	a17
26	CHH	6261	a17
27	CG	574	a17
27	CHG	540	a17
27	CHH	3927	a17
28	CG	354	a17
28	CHG	304	a17
28	CHH	2515	a17
29	CG	237	a17
29	CHG	241	a17
29	CHH	1684	a17
30	CG	201	a17
30	CHG	149	a17
30	CHH	1177	a17
31	CG	140	a17
31	CHG	119	a17
31	CHH	812	a17
32	CG	111	a17
32	CHG	76	a17
32	CHH	608	a17
33	CG	57	a17
33	CHG	53	a17
33	CHH	453	a17
34	CG	59	a17
34	CHG	48	a17
34	CHH	370	a17
35	CG	42	a17
35	CHG	38	a17
35	CHH	238	a17
36	CG	40	a17
36	CHG	21	a17
36	CHH	181	a17
37	CG	20	a17
37	CHG	22	a17
37	CHH	142	a17
38	CG	23	a17
38	CHG	17	a17
38	CHH	121	a17
39	CG	17	a17
39	CHG	8	a17
39	CHH	81	a17
40	CG	12	a17
40	CHG	19	a17
40	CHH	76	a17
41	CG	18	a17
41	CHG	6	a17
41	CHH	84	a17
42	CG	13	a17
42	CHG	9	a17
42	CHH	53	a17
43	CG	6	a17
43	CHG	9	a17
43	CHH	48	a17
44	CG	9	a17
44	CHG	8	a17
44	CHH	20	a17
45	CG	14	a17
45	CHG	9	a17
45	CHH	51	a17
46	CG	13	a17
46	CHG	7	a17
46	CHH	29	a17
47	CG	8	a17
47	CHG	8	a17
47	CHH	24	a17
48	CG	2	a17
48	CHG	3	a17
48	CHH	17	a17
49	CG	4	a17
49	CHG	4	a17
49	CHH	27	a17
50	CG	3	a17
50	CHG	2	a17
50	CHH	14	a17
51	CG	5	a17
51	CHG	5	a17
51	CHH	22	a17
52	CG	5	a17
52	CHG	3	a17
52	CHH	16	a17
53	CG	4	a17
53	CHG	2	a17
53	CHH	11	a17
54	CG	1	a17
54	CHG	1	a17
54	CHH	8	a17
55	CG	2	a17
55	CHG	2	a17
55	CHH	11	a17
56	CG	4	a17
56	CHH	4	a17
57	CG	4	a17
57	CHG	3	a17
57	CHH	9	a17
58	CG	4	a17
58	CHG	5	a17
58	CHH	5	a17
59	CG	3	a17
59	CHG	1	a17
59	CHH	13	a17
60	CG	5	a17
60	CHG	1	a17
60	CHH	6	a17
61	CG	1	a17
61	CHH	4	a17
62	CG	1	a17
62	CHG	2	a17
62	CHH	3	a17
63	CG	3	a17
63	CHH	5	a17
64	CG	1	a17
64	CHG	1	a17
64	CHH	7	a17
65	CG	1	a17
65	CHG	3	a17
65	CHH	1	a17
66	CG	2	a17
66	CHH	5	a17
67	CHH	3	a17
68	CG	1	a17
68	CHH	8	a17
69	CHH	2	a17
70	CG	1	a17
70	CHG	1	a17
70	CHH	3	a17
71	CG	2	a17
71	CHG	4	a17
71	CHH	6	a17
72	CHH	9	a17
73	CG	1	a17
73	CHH	3	a17
74	CHG	1	a17
74	CHH	7	a17
75	CG	3	a17
75	CHG	2	a17
75	CHH	6	a17
76	CHH	4	a17
77	CG	1	a17
77	CHH	1	a17
78	CHH	1	a17
80	CHH	1	a17
81	CG	1	a17
81	CHG	1	a17
81	CHH	1	a17
82	CG	2	a17
82	CHG	1	a17
82	CHH	1	a17
83	CHH	4	a17
84	CG	2	a17
84	CHG	1	a17
84	CHH	4	a17
85	CG	1	a17
85	CHH	1	a17
86	CG	2	a17
86	CHH	3	a17
87	CG	1	a17
87	CHG	1	a17
87	CHH	3	a17
88	CG	2	a17
88	CHG	1	a17
88	CHH	1	a17
89	CHG	1	a17
89	CHH	2	a17
90	CG	1	a17
90	CHG	2	a17
90	CHH	1	a17
91	CHH	2	a17
92	CHH	4	a17
93	CG	2	a17
93	CHH	5	a17
94	CHG	1	a17
94	CHH	1	a17
95	CHG	1	a17
95	CHH	4	a17
96	CHH	11	a17
97	CHH	2	a17
98	CHH	2	a17
99	CHH	3	a17
100	CHH	2	a17
101	CHH	1	a17
103	CHG	1	a17
103	CHH	1	a17
106	CG	1	a17
106	CHG	1	a17
106	CHH	1	a17
107	CHH	3	a17
108	CG	1	a17
108	CHH	2	a17
109	CHG	1	a17
109	CHH	2	a17
110	CG	2	a17
110	CHG	1	a17
110	CHH	5	a17
