sample	context	min_prop	size	regionType	DMRs	length
a4	CG	0.30000000000000004	10	loss	4	320
a4	CG	0.30000000000000004	20	gain	28	1886
a4	CG	0.30000000000000004	20	loss	102	6822
a4	CG	0.30000000000000004	50	gain	88	7717
a4	CG	0.30000000000000004	50	loss	315	32173
a4	CG	0.30000000000000004	100	gain	77	8702
a4	CG	0.30000000000000004	100	loss	263	38437
a4	CG	0.30000000000000004	200	gain	21	2909
a4	CG	0.30000000000000004	200	loss	87	16746
a4	CG	0.30000000000000004	2000	gain	1	619
a4	CG	0.30000000000000004	2000	loss	13	4358
a4	CG	0.30000000000000004	5000	gain	2	2129
a4	CG	0.30000000000000004	5000	loss	12	6248
a4	CG	0.4	10	gain	1	53
a4	CG	0.4	10	loss	4	320
a4	CG	0.4	20	gain	27	1810
a4	CG	0.4	20	loss	100	6703
a4	CG	0.4	50	gain	87	7503
a4	CG	0.4	50	loss	299	30155
a4	CG	0.4	100	gain	77	8702
a4	CG	0.4	100	loss	248	35145
a4	CG	0.4	200	gain	21	2909
a4	CG	0.4	200	loss	87	16746
a4	CG	0.4	2000	loss	3	1333
a4	CG	0.4	5000	loss	1	280
a4	CG	0.5	10	gain	1	53
a4	CG	0.5	10	loss	4	320
a4	CG	0.5	20	gain	24	1644
a4	CG	0.5	20	loss	99	6604
a4	CG	0.5	50	gain	86	7332
a4	CG	0.5	50	loss	278	27629
a4	CG	0.5	100	gain	76	8586
a4	CG	0.5	100	loss	235	32081
a4	CG	0.5	200	gain	21	2909
a4	CG	0.5	200	loss	86	15371
a4	CG	0.5	2000	loss	1	560
a4	CG	0.5	5000	loss	1	280
a4	CG	0.6	10	loss	3	266
a4	CG	0.6	20	gain	19	1310
a4	CG	0.6	20	loss	87	5842
a4	CG	0.6	50	gain	73	6140
a4	CG	0.6	50	loss	244	23872
a4	CG	0.6	100	gain	70	8050
a4	CG	0.6	100	loss	218	28848
a4	CG	0.6	200	gain	20	2764
a4	CG	0.6	200	loss	85	14746
a4	CG	0.6	2000	loss	1	80
a4	CG	0.7000000000000001	10	loss	3	196
a4	CG	0.7000000000000001	20	gain	15	1012
a4	CG	0.7000000000000001	20	loss	67	4469
a4	CG	0.7000000000000001	50	gain	52	4490
a4	CG	0.7000000000000001	50	loss	190	17760
a4	CG	0.7000000000000001	100	gain	45	4864
a4	CG	0.7000000000000001	100	loss	175	21884
a4	CG	0.7000000000000001	200	gain	17	2455
a4	CG	0.7000000000000001	200	loss	72	12143
a4	CG	0.8	10	loss	2	137
a4	CG	0.8	20	gain	10	670
a4	CG	0.8	20	loss	48	3194
a4	CG	0.8	50	gain	31	2471
a4	CG	0.8	50	loss	127	11391
a4	CG	0.8	100	gain	30	3304
a4	CG	0.8	100	loss	130	15766
a4	CG	0.8	200	gain	14	1932
a4	CG	0.8	200	loss	55	8288
a4	CG	0.9	10	loss	1	63
a4	CG	0.9	20	gain	2	108
a4	CG	0.9	20	loss	20	1262
a4	CG	0.9	50	gain	13	1042
a4	CG	0.9	50	loss	52	4553
a4	CG	0.9	100	gain	14	1701
a4	CG	0.9	100	loss	46	5396
a4	CG	0.9	200	gain	7	834
a4	CG	0.9	200	loss	20	2593
a4	CHG	0.1	20	gain	1	92
a4	CHG	0.1	20	loss	2	171
a4	CHG	0.1	50	gain	2	122
a4	CHG	0.1	100	loss	1	60
a4	CHG	0.2	20	gain	1	92
a4	CHG	0.2	20	loss	2	171
a4	CHG	0.2	50	gain	2	122
a4	CHG	0.2	100	loss	1	60
a4	CHG	0.30000000000000004	20	gain	1	92
a4	CHG	0.30000000000000004	20	loss	2	171
a4	CHG	0.30000000000000004	50	gain	2	122
a4	CHG	0.30000000000000004	100	loss	1	60
a4	CHG	0.4	20	gain	1	92
a4	CHG	0.4	20	loss	2	171
a4	CHG	0.4	50	gain	2	122
a4	CHG	0.4	100	loss	1	60
a4	CHG	0.5	20	gain	1	92
a4	CHG	0.5	20	loss	2	171
a4	CHG	0.5	50	gain	2	122
a4	CHG	0.5	100	loss	1	60
a4	CHG	0.6	20	gain	1	92
a4	CHG	0.6	20	loss	2	171
a4	CHG	0.6	50	gain	2	122
a4	CHG	0.6	100	loss	1	60
a4	CHG	0.7000000000000001	20	gain	1	92
a4	CHG	0.7000000000000001	20	loss	2	171
a4	CHG	0.7000000000000001	50	gain	2	122
a4	CHG	0.7000000000000001	100	loss	1	60
a4	CHG	0.8	20	gain	1	92
a4	CHG	0.8	20	loss	2	171
a4	CHG	0.8	50	gain	1	61
a4	CHG	0.8	100	loss	1	60
a4	CHG	0.9	20	loss	2	171
a4	CHG	0.9	50	gain	1	61
a4	CHG	0.9	100	loss	1	60
a4	CHH	0.1	500	gain	139	27984
a4	CHH	0.1	500	loss	26	5850
a4	CHH	0.1	1000	gain	110	29648
a4	CHH	0.1	1000	loss	42	15400
a4	CHH	0.1	2000	gain	47	11651
a4	CHH	0.1	2000	loss	20	8707
a4	CHH	0.1	5000	gain	7	2170
a4	CHH	0.1	5000	loss	10	4609
a4	CHH	0.2	500	gain	26	2647
a4	CHH	0.2	500	loss	3	438
a4	CHH	0.2	1000	gain	17	2656
a4	CHH	0.2	1000	loss	10	1857
a4	CHH	0.2	2000	gain	6	749
a4	CHH	0.2	2000	loss	2	514
a4	CHH	0.2	5000	gain	2	330
a4	CHH	0.2	5000	loss	1	503
a4	CHH	0.30000000000000004	500	gain	1	124
a4	CHH	0.30000000000000004	1000	gain	2	264
a4	CHH	0.30000000000000004	2000	gain	2	317
