chr	start	end	context	A11_10	A11_11	A11_3	A11_5	A11_8	A_12	A_14	A1_4	A_15	A1_6	A_17	A1_7	A1_8	A_1	A_21	A_22	A_4	B_10	B_11	B1_2	B1_3	B1_6	B1_7	B1_8	B1_9	B2_10	B2_14	B2_16	B2_18	B2_1	B2_20	B2_5	B2_9	B_2	B_3	B_4	B_5	B_6	B_8	WT_1	WT_2	WT_3	WT_4	WT_6
SL4.0ch08	34800000	34900000	CHH	8.49056603773585	8.51511169513798	10.8072342302603	10.00481000481	10.0051572975761	8.0395794681509	9.54403851600113	10.0978226569896	10.9072880515617	10.3246167718665	11.9011976047904	10.4066985645933	10.2214134061268	10.1231190150479	9.2755214050494	10.3061224489796	10.2127659574468	11.2742527530152	11.4014251781473	11.8352059925094	10.4109589041096	10.4503870513723	6.10831234256927	8.67167919799499	8.7229862475442	8.68462757527734	9.40748440748441	8.31062670299728	11.437908496732	10.7683000604961	12.0833333333333	10.6009070294785	8.8785046728972	9.73637961335677	10.9527121001391	9.56316410861865	9.51625693893735	9.20074349442379	8.85675553547221	8.3610188261351	9.39130434782609	9.06994619523443	7.91399817017383	9.44625407166124
SL4.0ch08	34900000	35000000	CG	91.2854030501089	88.641975308642	93.1464174454829	89.272030651341	87.2641509433962	87.3626373626374	89.6358543417367	90.8860759493671	87.6404494382023	94.2222222222222	86.5443425076453	88.3280757097792	86.8945868945869	90.9722222222222	84.9372384937239	85.9259259259259	83.3333333333333	91.7098445595855	91.304347826087	90.2061855670103	93.1740614334471	91.7142857142857	86.7549668874172	87.3239436619718	90.3846153846154	89.3617021276596	90.5940594059406	87.2448979591837	95.4545454545455	92.0930232558139	86.4406779661017	93.1034482758621	88.4615384615385	88.8586956521739	92.4590163934426	90.5405405405405	89.8305084745763	92.3913043478261	87.9464285714286	92.9347826086957	93.4984520123839	94.0438871473354	88.2926829268293	91.2751677852349
SL4.0ch08	34900000	35000000	CHG	73.0232558139535	72.6287262872629	73.4939759036145	76.271186440678	68.4491978609626	72.6775956284153	74.0384615384615	74.0740740740741	71.3157894736842	72.9281767955801	70.5263157894737	72.6277372262774	68.7096774193548	70.5426356589147	67.8756476683938	69.4444444444444	71.1764705882353	75.1824817518248	74.1935483870968	71.875	73.3812949640288	77.8461538461538	65.4929577464789	71.0843373493976	71.9101123595506	72.265625	74.8663101604278	77.6223776223776	67.6470588235294	80.9523809523809	57.8947368421053	75.1592356687898	69.1275167785235	66.006600660066	73.1914893617021	72.7272727272727	71.551724137931	55.6962025316456	68.780487804878	71.5083798882682	76.551724137931	79.734219269103	70.5263157894737	81.294964028777
SL4.0ch08	34900000	35000000	CHH	8.54241338112306	7.75833608451634	11.2962962962963	9.06344410876133	7.55467196819085	9.01960784313725	9.67741935483871	11.6424931399451	9.11689961880559	10.3360811667724	10.7540173053152	11.359649122807	11.1638088288946	12.0328849028401	8.7431693989071	9.1820580474934	8.15363881401617	9.62479608482871	9.93117010816126	10.3499627699181	9.34242181234964	9.64506172839506	6.3768115942029	7.02560735390676	7.86224821312541	7.36196319018405	9.14205344585091	7.31511254019293	10.6145251396648	8.85989010989011	11.6634799235182	8.04597701149425	7.34506503442999	9.59206174200662	9.75609756097561	10.0124378109453	8.6734693877551	9.2757306226175409	8.37988826815642	7.99220272904483	9.51760104302477	8.59049207673061	7.10135571336346	8.66533864541833
SL4.0ch08	35000000	35100000	CG	89.8470097357441	91.4634146341463	94.4903581267218	92.638036809816	86.7256637168142	89.9521531100478	89.1373801916933	91.358024691358	89.6499238964992	90.8616187989556	87.2072072072072	89.4366197183099	91.8196994991653	93.7799043062201	87.7717391304348	90.3903903903904	86.2928348909657	91.3207547169811	89.2682926829268	94	91.1602209944751	91.5254237288136	90.8284023668639	90.5109489051095	93.3628318584071	90.9297052154195	90.9348441926346	88.8524590163934	91	93.2203389830509	91.4634146341463	93.0930930930931	92.5	87.9078694817658	90.2286902286902	88.9221556886228	92.8251121076233	89.0052356020942	88.7052341597796	91.4893617021277	94.0451745379877	92.3076923076923	94.2652329749104	93.1034482758621
SL4.0ch08	35000000	35100000	CHG	76.4883955600404	74.9445676274945	77.6119402985075	78.7941787941788	70	77.5735294117647	77.75	76.555716353111407	75.7396449704142	74.6067415730337	69.7574893009986	75.177304964539	78.9099526066351	72.7642276422764	75.3950338600451	80.2150537634409	73.6725663716814	75.2747252747253	74.9116607773852	74.6666666666667	76.5927977839335	79.6747967479675	77.8290993071594	74.4639376218324	76.043557168784	77.3972602739726	79.1469194312796	77.0618556701031	78.9473684210526	76.0348583877996	75.5555555555556	79.7752808988764	74.4630071599045	71.3004484304933	74.6130030959752	73.7991266375546	77.4691358024691	75.2767527675277	77.5618374558304	78.5340314136126	77.6859504132231	80.9148264984227	78.4741144414169	80.7086614173228
SL4.0ch08	35000000	35100000	CHH	8.70468277945619	8.56437523737182	9.6201632942847	8.64606328182487	10.2864583333333	10.0808960796515	9.67597765363129	10.0588550026752	10.5590062111801	9.03768752286864	9.78526773579777	9.12863070539419	10.3619909502262	9.82142857142857	8.0561122244489	10.3801169590643	8.17155756207675	7.83433133732535	9.41176470588235	9.9728014505893	8.31573389651531	9.47692307692308	6.41620937104263	9.37615356220007	9.87170349251604	9.87547060527078	8.94378194207837	8.29732065687122	7.82967032967033	9.13786253476361	11.0204081632653	10.3729603729604	9.25020374898125	9.49689089881289	9.52959028831563	9.4020618556701	8.30929024812464	11.1475409836066	9.5925569457812	7.67350928641251	9.35619735258724	9.8022105875509	6.84113865932048	7.05339485827291
SL4.0ch08	35100000	35200000	CG	89.6186440677966	86.2903225806452	91.044776119403	88.6029411764706	89.6174863387978	87.3417721518987	87.6262626262626	92.638036809816	89.6153846153846	90.1234567901235	88.7468030690537	88.8361045130641	87.962962962963	89.8936170212766	90.948275862069	91.1458333333333	83.3333333333333	90.9090909090909	92.8057553956834	90.2777777777778	90.6862745098039	88.3435582822086	92.1951219512195	88.6685552407932	95	85.8006042296072	90.272373540856	91.0569105691057	93.1818181818182	86.2275449101796	86.9565217391304	91.8918918918919	86.9158878504673	87.5354107648725	88	86.6666666666667	87.0967741935484	80.1526717557252	89.5424836601307	91.566265060241	91.0543130990415	89.0214797136038	87.984496124031	85.3260869565217
SL4.0ch08	35100000	35200000	CHG	71.7325227963526	74.6710526315789	71.1670480549199	75.7946210268949	78.2006920415225	71.1382113821138	75.1219512195122	75.6818181818182	72.2460658082976	77.9710144927536	68.0373831775701	72.4199288256228	72.1393034825871	79.7520661157025	78.5714285714286	77.9359430604982	66.0098522167488	79.9382716049383	69.8275862068966	72.2419928825623	74.954954954955	79.9086757990868	74.7440273037543	76.3097949886105	79.7653958944282	76.7025089605735	76.6561514195584	74.061433447099	82.6446280991736	70.0704225352113	69.3069306930693	79.5986622073579	78.4172661870504	75.9013282732448	70.1627486437613	70.2064896755162	74.1116751269035	68.2795698924731	74.5	74.4394618834081	73.2793522267206	72.7272727272727	76.986301369863	79.3774319066148
SL4.0ch08	35100000	35200000	CHH	8.64955357142857	7.93556085918854	9.87088713036235	8.30056793359546	10.1734104046243	8.21643286573146	9.29269014501332	10.5602579604998	10.9059146493636	8.51409978308026	10.6001558846454	9.28906773977197	8.99425287356322	8.33912439193885	9.45399393326593	11.5384615384615	9.52380952380952	12.1592148309706	9.65811965811966	9.46969696969697	8.08080808080808	9.23206042803189	6.84736091298145	7.29411764705882	7.54631721644826	9.12574016022292	7.61061946902655	9.55489614243323	9.96376811594203	8.5427135678392	9.45454545454546	10.116492949111	9.76722957553629	8.57586340706248	9.32659932659933	9.11098840419658	8.21576763485477	7.66798418972332	8.62148455509451	8.72093023255814	9.5434131736527	8.24261275272162	7.68122899663946	8.36972343522562
SL4.0ch08	35200000	35300000	CG	86.4527629233512	86.5497076023392	91.3357400722022	84.3065693430657	86.3849765258216	91.5841584158416	88.1944444444444	88.2142857142857	87.5613747954174	92.7392739273927	85.8310626702997	85.3801169590643	87.3493975903614	86.5168539325843	88.8429752066116	84.8739495798319	82.7906976744186	83.756345177665	83.8926174496644	87.0056497175141	88.8888888888889	90.4509283819629	90.64039408867	82.5278810408922	87.719298245614	92.507204610951	90.8536585365854	92.2374429223744	85.2459016393443	83.4782608695652	93.2203389830509	91.0780669144981	85.8267716535433	84.054054054054	84.4984802431611	87.7934272300469	87.431693989071	84.8684210526316	84.5637583892617	92.0152091254753	92.75	94.6236559139785	94.0397350993377	93.3333333333333
SL4.0ch08	35200000	35300000	CHG	73.035439137134	71.2543554006969	80.7471264367816	71.4754098360656	75.6637168141593	79.2452830188679	75.6929637526652	73.5735735735736	71.2676056338028	75.0733137829912	70.9523809523809	75.417661097852	73.2227488151659	78.5310734463277	71.5447154471545	70.3125	72.2727272727273	71.244635193133007	74.2081447963801	78.1990521327014	75.9213759213759	75.6818181818182	74.0384615384615	71.3793103448276	67.6691729323308	74.2857142857143	75.3623188405797	74.5689655172414	73.8095238095238	79.296875	76	73.4848484848485	70.7006369426752	71.875	71	70	78.9473684210526	73.7430167597765	70.8092485549133	78.1609195402299	76.2589928057554	81.7102137767221	70.3703703703704	71.7171717171717
SL4.0ch08	35200000	35300000	CHH	8.02075019952115	8.33718244803695	10.8038348082596	7.30811604847595	8.55365474339036	9.56316410861865	7.56433584611386	9.24812030075188	8.82136279926335	8.60778443113773	11.1459521094641	8.48731600375822	8.89135871075299	8.5427135678392	7.91094268119375	10.4997707473636	6.55567117585848	9.26573426573426	9.79020979020979	9.04377880184332	8.95119978430844	8.83681535855449	7.10966542750929	8.24372759856631	7.54486133768352	8.82260596546311	7.29101194217473	8.07588075880759	9.72222222222222	8.80708294501398	12.5570776255708	10.6142916840786	7.56029684601113	9.65653153153153	8.338405356056	10.7229500242601	9.52063914780293	8.19548872180451	7.98925814031554	6.93110647181628	8.47299813780261	9.81322265045953	6.8	8.51630073186959
SL4.0ch08	35300000	35400000	CG	85.3503184713376	85.3711790393013	85.6603773584906	89.3617021276596	89.419795221843	88.4210526315789	83.6787564766839	85.4748603351955	87.3015873015873	87.0445344129555	82.7225130890052	85.1941747572816	86.2980769230769	89.3333333333333	86.5384615384615	89.5348837209302	88.1081081081081	86.0103626943005	84.6153846153846	86.9318181818182	87.7840909090909	87.987987987988	90.3930131004367	88.0165289256198	89.4495412844037	90.282131661442	88.5869565217391	91.3419913419913	89.5833333333333	83.1050228310502	90	87.7450980392157	85.15625	87.6080691642651	86.4468864468865	85.0746268656716	89.7810218978102	86.9565217391304	86.6666666666667	92.5581395348837	89.9641577060932	89.2976588628762	88.2845188284519	89.6774193548387
SL4.0ch08	35300000	35400000	CHG	73.4657039711191	72.0930232558139	77.0967741935484	74.2671009771987	71.4765100671141	73.6318407960199	73.1308411214953	74.3820224719101	74.9134948096886	78.5714285714286	71.2589073634204	72.8448275862069	75.1111111111111	70.2247191011236	74.1379310344828	74.2268041237113	75.1243781094527	67.0781893004115	75	76.0869565217391	69.3827160493827	72.8187919463087	75.9541984732824	69.023569023569	78.1954887218045	81.3370473537604	74.3016759776536	73.9669421487603	83.6065573770492	77.2727272727273	77.2727272727273	74.1035856573705	75.5223880597015	69.2073170731707	74.5152354570637	70.919881305638	75.6410256410256	68.6046511627907	68.125	76.5486725663717	78.2352941176471	78.8405797101449	71.0144927536232	67.1641791044776
SL4.0ch08	35300000	35400000	CHH	7.70165208940719	9.07969405378732	10.1516427969671	8.35748792270531	8.04810360777058	9.73514674302076	9.77065661325793	11.0329507589782	10.92318534179	9.33002481389578	11.2676056338028	9.38242280285036	8.93122953259899	10.0896860986547	8.55880728879072	10.9404990403071	7.71331058020478	8.18791946308725	9.71472629144179	9.93548387096774	9.2790863668808	8.56531049250535	7.36677115987461	7.0429329474192	9.19294494922501	10.3542234332425	8.46774193548387	7.01956271576525	10.8007448789572	9.31015143017386	8.68824531516184	11.4300100704935	8.08126410835214	7.39393939393939	8.81287726358149	11.0103626943005	7.6526225279449704	10.4948805460751	8.71335504885993	8.40550178298523	7.8397212543554	9.28433268858801	6.98027314112291	8.15627141877999
SL4.0ch08	35400000	35500000	CG	88.2825040128411	90.8163265306122	88.302752293578	90.8860759493671	90.3114186851211	95.3177257525084	88.1428571428571	92.7536231884058	89.8050974512744	85.0785340314136	91.1111111111111	90.9615384615385	90.9240924092409	89.7872340425532	88.2793017456359	94.6078431372549	84.8837209302326	86.2179487179487	88.4057971014493	88.7272727272727	91.4807302231237	91.0112359550562	93.0232558139535	90.4884318766067	92.1259842519685	93.75	88.5135135135135	92.0382165605096	86.5979381443299	88.6792452830189	90.7692307692308	85.2830188679245	87.4666666666667	89.2857142857143	90.8289241622575	88.7671232876712	89.0625	88.0829015544041	87.2727272727273	96.1240310077519	87.5305623471883	91.2832929782082	94.1747572815534	91.8032786885246
SL4.0ch08	35400000	35500000	CHG	70.7462686567164	79.1777188328912	73.3333333333333	73.8219895287958	74.91961414791	77.8145695364238	72.6858877086495	80.9623430962343	76.3197586726998	77.4193548387097	76.1904761904762	75.049115913556	74.468085106383	80.7017543859649	76.5060240963855	73.8666666666667	77.6666666666667	72.289156626506	77.2946859903382	74.5318352059925	74.0506329113924	73.6842105263158	81.5789473684211	76.5116279069767	81.3380281690141	79.1878172588832	80	78.3475783475783	76.5957446808511	76.551724137931	77.1186440677966	73.6111111111111	78.4313725490196	75.7630161579892	76.4805414551607	71.7142857142857	73.224043715847	80.8411214953271	67.6959619952494	77.3109243697479	75.8139534883721	78.5046728971963	75.796178343949	80.1980198019802
SL4.0ch08	35400000	35500000	CHH	8.44479412536061	9.54405858729034	11.3398058252427	8.8031222896791	10.5579868708972	8.56494611457743	9.91060025542784	11.5347018572825	11.4963928322085	10.0676482292081	11.8503937007874	9.82256020278834	11.4971050454921	11.1581920903955	9.04306220095694	10.2552415679125	9.65360590573538	10.6578276389597	11.2518628912072	11.4988558352403	9.33825999328183	10.4638619201726	8.2089552238806	9.5275283092542	10.1907356948229	11.6350985697719	9.72222222222222	8.74049945711183	7.97773654916512	10.6355382619974	11.2947658402204	10.2040816326531	8.91774891774892	9.53958264325936	10.4680581910183	10.3777878925808	8.66274179983179	10.1973684210526	7.87711697518708	7.9333986287953	9.05138339920949	9.73853732474422	8.51996105160662	9.20840064620355
SL4.0ch08	35500000	35600000	CG	92.6666666666667	91.5525114155251	89.4957983193277	92.2535211267606	92.5925925925926	88.4393063583815	89.4009216589862	94.9061662198391	91.6044776119403	94.3037974683544	90.3448275862069	90.5775075987842	92.3963133640553	91.0614525139665	90.4	90.1345291479821	86.6108786610879	87.6595744680851	92.7710843373494	92.0731707317073	91.3888888888889	91.2806539509537	93.4343434343434	91.9491525423729	90.6779661016949	94.3977591036415	89.8148148148148	94.2857142857143	93.9393939393939	89.7435897435897	93.4426229508197	94.0909090909091	93.3014354066986	88.2352941176471	90.1234567901235	88.2096069868996	92.6174496644295	89.9328859060403	90.1960784313726	88.3408071748879	91.5697674418605	94.1818181818182	88.8412017167382	96.9924812030075
SL4.0ch08	35500000	35600000	CHG	76.782449725777	75.4990925589837	77.0440251572327	74.9279538904899	77.0114942528736	79.8353909465021	73.4831460674157	80.0469483568075	73.3333333333333	80	75.5344418052257	79.3838862559242	74.5704467353952	80	75.8389261744966	72.0930232558139	78.1144781144781	75.3968253968254	76.7326732673267	72.463768115942	79.0804597701149	80.0524934383202	75.9856630824373	72.1374045801527	79.0996784565916	75.0629722921914	73.6111111111111	77.431906614786	67.5675675675676	75.5760368663594	79.1208791208791	77.7777777777778	73.3333333333333	71.7557251908397	74.4565217391304	77.2058823529412	73.224043715847	73.1843575418994	68.6520376175549	79.1164658634538	82.9573934837093	75.5700325732899	74.2957746478873	72.5609756097561
SL4.0ch08	35500000	35600000	CHH	7.61713135958609	8.48113511770397	10.230466554244	7.83869506116901	8.38905775075988	9.36329588014981	8.32249674902471	8.94698085419735	9.74471589349437	10.427807486631	10.2211097204839	8.14090019569472	9.78868862647607	8.67579908675799	6.48098553829673	8.72124130551097	9.17212626563431	8.14814814814815	8.4026622296173	11.1196319018405	9.39520730315709	10.1255886970173	6.39899623588457	7.56054341405789	8.98630136986301	7.16567777270653	7.4281709880869	7.2289156626506	6.875	8.83152173913044	10.4417670682731	8.82731958762887	7.15174129353234	8.64565587734242	8.8778729157278	8.80579010856454	7.04879938032533	9.67423494570582	8.34485938220378	6.78787878787879	10.3517186250999	8.54386770785485	7.27948990435707	8.7890625
SL4.0ch08	35600000	35700000	CG	88.135593220339	88.7096774193548	92.3636363636364	87.3239436619718	88.7640449438202	92.0212765957447	89.6470588235294	90.2439024390244	89.5017793594306	87.2427983539095	85.8895705521472	91.5915915915916	89.8263027295285	91.1242603550296	87.9032258064516	88.9344262295082	88.8	87.192118226601	87.5	92.462311557789	88.3647798742138	87.8612716763006	92.5581395348837	90.5923344947735	89.1509433962264	90.9090909090909	90.0990099009901	88.6699507389163	94.2857142857143	89.6713615023474	97.6744186046512	91.1330049261084	93.1506849315068	83.6477987421384	88.7096774193548	89.9581589958159	92	93.0555555555556	87.7906976744186	87.7828054298643	94.5205479452055	92.0765027322404	87.9227053140097	87.8571428571429
SL4.0ch08	35600000	35700000	CHG	73.2558139534884	74.8826291079812	73.992673992674	72.6591760299626	70.6806282722513	74.2616033755274	72.8337236533958	78.2178217821782	71.5265866209262	72.7272727272727	73.5119047619048	73.6147757255937	75.2913752913753	71.7647058823529	68.4210526315789	74.3494423791822	69.3661971830986	72.9411764705882	80.4195804195804	77.2151898734177	73.5211267605634	74.2627345844504	74.6411483253589	73.1391585760518	69.0082644628099	75.1633986928105	75	69.9481865284974	70.5128205128205	73.3333333333333	71.1111111111111	75.1269035532995	81.4634146341463	70.0996677740864	76.8707482993197	64.5418326693227	71.6763005780347	66.1971830985916	74.2690058479532	74.9077490774908	77.3770491803279	76.8831168831169	62.5550660792952	75
SL4.0ch08	35600000	35700000	CHH	8.09935205183585	9.06060606060606	9.26734594856866	8.65561694290976	7.85307156428119	7.18527315914489	7.1817890349471	8.83550488599349	9.35128518971848	9.02140672782875	9.80471928397071	7.78885197489849	8.15405968077724	8.04953560371517	9.15178571428571	9.80980980980981	7.88762830902215	8.65326020719074	9.88805970149254	11.2215078901227	8.22994210090984	8.49137931034483	7.45784695201038	8.04540967423495	7.54929577464789	8.41121495327103	6.00885515496521	8.74213836477987	9.33609958506224	8.28603859250851	8.69565217391304	7.71175726927939	9.42408376963351	8.29512296790329	9.4974642692485	9.86913849509269	7.86610878661088	8.28451882845188	7.81563126252505	6.98808234019502	8.94607843137255	8.46953937592868	6.79611650485437	7.57071547420965
SL4.0ch08	35700000	35800000	CG	87.9356568364611	87.8453038674033	92.2131147540984	88.0952380952381	88.6904761904762	85.8024691358025	89.0207715133531	88.5496183206107	87.8859857482185	89.0052356020942	89.1525423728814	85.4785478547855	90.0584795321637	92.1348314606742	85.1851851851852	93.7142857142857	81.025641025641	87.0588235294118	86.046511627907	92.3664122137405	91.1347517730496	91.4728682170543	87.5776397515528	90.5940594059406	93.8202247191011	89.568345323741	87.5862068965517	86.3636363636364	94	86.5030674846626	89.1891891891892	86.8020304568528	88.7096774193548	88.0478087649402	88.9273356401384	92.3976608187134	92.4242424242424	93.4782608695652	90.0862068965517	92.3976608187134	92.1810699588477	90.0684931506849	90.3381642512077	91.588785046729
SL4.0ch08	35700000	35800000	CHG	67.3289183222958	63.9658848614072	62.6811594202899	74.0072202166065	73.3644859813084	65.5660377358491	67.9886685552408	70.125786163522	65.6521739130435	68.6274509803922	69.3009118541033	64.8648648648649	66.1375661375661	66.2576687116564	72.4770642201835	74.1463414634146	62.1495327102804	65.9685863874346	64.2335766423358	65.6716417910448	65.7458563535912	65.4676258992806	65.2173913043478	64.6153846153846	70.8133971291866	68.4210526315789	60.7954545454545	75.2577319587629	69.2307692307692	70.6185567010309	80	72.1973094170404	70.4845814977974	62.2568093385214	67.7115987460815	71.5686274509804	67.3076923076923	69.281045751634	60.0694444444444	75.9183673469388	73.6842105263158	79.8927613941019	72.4279835390947	69.2857142857143
